,Date,RED,BLUE
0,01/01/2006,22.833333333333332,30.233333333333334
1,01/01/2007,23.333333333333332,30.5
2,01/01/2008,23.633333333333336,30.73333333333333
3,01/01/2009,23.766666666666666,31.099999999999998
4,01/01/2010,23.96666666666667,31.233333333333334
5,01/01/2011,24.46666666666667,31.7
6,01/01/2012,24.900000000000002,32.0
7,01/01/2013,25.866666666666664,32.6
8,01/01/2014,25.96666666666667,33.1
9,01/01/2015,26.266666666666666,33.833333333333336
10,01/01/2016,26.899999999999995,34.56666666666667
11,01/01/2017,27.566666666666666,35.03333333333333
12,01/01/2018,27.566666666666663,36.03333333333334
13,01/01/2019,28.733333333333334,36.6
