,Country1,Country2,Country3,Deaths100K1,Deaths100k2,Deaths100K3
179,New Zealand,Germany,Pakistan,0.77,118.79,13.23
62,Ireland,United Kingdom,Bangladesh,113.51,215.46,17.14

